"GPA","Number_Of_Professional_Connections","Major","Graduation_Year","Height","Number_Of_Credits","Number_Of_Parking_Tickets","HP","GC","predEarnings"
2.66,3,"STEM",1961,73.12,125,0,219.36,245125,9733.60654999999
1.57,57,"STEM",1992,65.15,123,0,3713.55,245016,9835.76562857141
3.02,14,"STEM",1991,71.02,123,0,994.28,244893,9696.25621080144
3.22,47,"STEM",1988,67.65,120,3,3179.55,238560,9684.56096190478
2.47,4,"STEM",2000,71.18,122,0,284.72,244000,9751.08357383049
1.92,29,"STEM",1967,67.38,121,1,1954.02,238007,9806.40564047622
2.27,19,"STEM",1983,71.47,121,1,1357.93,239943,9773.41899749372
2.11,4,"STEM",1963,67.03,123,2,268.12,241449,9785.32585714286
2.32,2,"STEM",1980,71.16,120,2,142.32,237600,9761.48092631259
4,5,"STEM",2011,63.47,123,1,317.35,247353,9641.50136428576
2.39,37,"STEM",2005,67.66,121,1,2503.42,242605,9761.64037619048
2.25,8,"STEM",1980,70.33,120,0,562.64,237600,9770.57522380952
2.57,33,"STEM",1973,67.43,121,3,2225.19,238733,9745.79908928573
2.4,4,"STEM",1964,65.53,121,0,262.12,237644,9764.58755714287
2.24,10,"STEM",1973,68.42,122,1,684.2,240706,9774.1374994393
2.77,40,"STEM",2006,66.6,120,0,2664,240720,9725.01267093253
2.37,3,"STEM",2012,69.48,121,0,208.44,243452,9763.84077093252
2.66,31,"STEM",1978,70.4,123,2,2182.4,243294,9736.78459285714
2.71,0,"STEM",1978,68.36,122,0,0,241316,9733.61914099317
2.17,8,"STEM",2007,70.54,122,1,564.32,244854,9779.80331229645
2.16,5,"STEM",1964,67.68,120,1,338.4,235680,9781.84821064425
2.62,3,"STEM",2015,67.07,121,0,201.21,243815,9739.71145926589
2.57,4,"STEM",1979,66.19,121,0,264.76,239459,9746.61690857146
2.78,17,"STEM",1962,67.79,122,1,1152.43,239364,9723.92105527889
3.27,9,"STEM",1996,67.62,120,4,608.58,239520,9680.93116428573
2.66,43,"STEM",2015,65.87,127,1,2832.41,255905,9732.97778571432
2.23,2,"STEM",2007,69.23,120,2,138.46,240840,9775.50175714288
2.26,12,"STEM",1994,65.99,123,0,791.88,245262,9773.45407857145
2.3,0,"STEM",2013,71.52,120,0,0,241560,9769.26243317744
1.85,35,"STEM",1971,67.63,120,0,2367.05,236520,9808.33972142857
1.25,3,"STEM",1979,71.21,120,1,213.63,237480,9870.57951071424
2.35,37,"STEM",1988,68.65,121,2,2540.05,240548,9764.2285547619
2.89,9,"STEM",2001,65.63,122,0,590.67,244122,9716.07427510808
2.35,8,"STEM",2011,69.54,124,2,556.32,249364,9764.88593571429
2.52,1,"STEM",1968,64.49,122,3,64.49,240096,9747.74957908842
2.36,1,"STEM",1986,68.28,125,2,68.28,248250,9761.75177142858
2.56,4,"STEM",1966,68.87,122,2,275.48,239852,9746.59142908844
2.69,4,"STEM",2002,68.49,120,1,273.96,240240,9729.31851666666
3.12,68,"STEM",1974,64.5,120,2,4386,236880,9696.36661428572
1.88,42,"STEM",1969,67.67,122,1,2842.14,240218,9808.23491004083
2.19,36,"STEM",1965,68.64,121,0,2471.04,237765,9781.45954642854
2.73,12,"STEM",1991,69.97,123,4,839.64,244893,9728.14423428573
2.61,22,"STEM",1969,66.1,121,3,1454.2,238249,9743.63198333333
2.66,71,"STEM",1998,68.49,122,0,4862.79,243756,9740.42285571427
2.75,9,"STEM",1963,68.57,121,0,617.13,237523,9727.04522880949
2.86,1,"STEM",1970,66.23,121,1,66.23,238370,9719.0204568197
2.22,11,"STEM",1979,70.05,124,0,770.55,245396,9776.16635714287
2.57,56,"STEM",1961,67.46,121,0,3777.76,237281,9743.49219642857
2.58,7,"STEM",1980,71.92,120,4,503.44,237600,9739.33969258245
2.18,5,"STEM",1984,66.65,124,1,333.25,246016,9776.87658571432
2.38,45,"STEM",2014,69.58,125,0,3131.1,251750,9762.09640664685
3.07,35,"STEM",1997,68,120,0,2380,239640,9694.22106063133
2.38,51,"STEM",1987,69.67,122,1,3553.17,242414,9764.84119920122
1.81,30,"STEM",1988,72.23,124,0,2166.9,246512,9816.86007571426
2.76,2,"STEM",2014,70.88,120,1,141.76,241680,9725.35844285714
2.82,22,"STEM",2005,68.97,122,0,1517.34,244610,9717.27599177474
3.09,17,"STEM",2013,68.19,125,1,1159.23,251625,9698.49522142858
1.82,20,"STEM",2000,67.04,122,0,1340.8,244000,9816.59215954476
2.23,33,"STEM",1964,68.96,124,1,2275.68,243536,9779.1644486842
2.09,28,"STEM",1982,71.63,122,1,2005.64,241804,9791.41491943931
2.99,9,"STEM",1964,66.94,123,0,602.46,241572,9706.58148580141
2.99,53,"STEM",1976,67.68,123,0,3587.04,243048,9703.9514950871
2.14,10,"STEM",1963,72.76,128,0,727.6,251264,9780.52904285712
3.42,36,"STEM",2003,67.22,121,0,2419.92,242363,9668.98188521824
2.66,1,"STEM",1998,65.32,121,1,65.32,241758,9737.76868952385
1.98,8,"STEM",1974,64.49,121,2,515.92,238854,9794.36586964288
1.84,5,"STEM",2010,66.09,120,1,330.45,241200,9809.77788095237
3.06,5,"STEM",1985,67.8,121,0,339,240185,9698.55442483201
2.28,3,"STEM",1991,67.89,125,4,203.67,248875,9768.76748571431
1.68,17,"STEM",2001,66.08,121,0,1123.36,242121,9823.78354047617
2,2,"STEM",1994,66.46,122,1,132.92,243268,9795.84874575511
2.54,33,"STEM",1994,68.89,123,0,2273.37,245262,9744.97789285717
2.5,2,"STEM",2003,70.52,125,1,141.04,250375,9748.48150952382
2.65,38,"STEM",1961,67.21,122,1,2553.98,239242,9736.21859575509
2.9,5,"STEM",1968,66.17,124,1,330.85,244032,9712.22132499997
2.53,16,"STEM",1972,69.34,127,3,1109.44,250444,9750.16884999999
2.29,15,"STEM",1988,66.13,122,4,991.95,242536,9769.14657432654
2.4,24,"STEM",1972,70.31,122,3,1687.44,240584,9756.98261004081
2.46,70,"STEM",1961,67.21,124,0,4704.7,243164,9755.09129285715
2.98,43,"STEM",1977,70.04,121,3,3011.72,239217,9704.89714523813
1.02,56,"STEM",1973,68,120,0,3808,236760,9870.82881071429
2.21,106,"STEM",1972,68.93,120,1,7306.58,236640,9799.60585939851
2.96,4,"STEM",1998,67.45,121,0,269.8,241758,9704.06843363305
2.71,7,"STEM",1988,68.51,120,0,479.57,238560,9729.66274693879
1.84,1,"STEM",1982,65.5,120,0,65.5,237840,9813.90162142855
1.61,41,"STEM",1991,67.96,127,0,2786.36,252857,9831.48245
2.19,31,"STEM",1983,67.43,124,2,2090.33,245892,9781.64507142859
2.54,16,"STEM",1974,66.14,123,2,1058.24,242802,9745.21153142857
2.06,24,"STEM",1994,70.25,122,1,1686,243268,9795.84030515361
2.34,14,"STEM",1982,66.99,123,0,937.86,243786,9767.30777721086
3.13,3,"STEM",1991,70.09,127,0,210.27,252857,9699.32177142854
2.51,11,"STEM",2011,67.32,121,3,740.52,243331,9748.87408928572
3.35,6,"STEM",1966,67.58,120,0,405.48,235920,9672.95219651567
2.7,49,"STEM",2010,67.56,123,0,3310.44,247230,9730.29752807538
2.72,26,"STEM",2006,68.93,124,1,1792.18,248744,9729.22942142856
2.31,22,"STEM",1982,69.08,121,1,1519.76,239822,9767.98173796991
2.51,12,"STEM",1982,67.17,127,1,806.04,251714,9749.19902857145
2.17,22,"STEM",1993,66.38,123,0,1460.36,245139,9779.07868571432
2.62,11,"STEM",1977,69.21,121,2,761.31,239217,9738.23162261907
2.76,2,"STEM",1998,69.58,121,1,139.16,241758,9726.9300857143
2.08,41,"STEM",1966,69.64,122,2,2855.24,239852,9791.68881480272
3.47,17,"STEM",1991,68.03,121,1,1156.51,240911,9659.82311857144
2.29,2,"STEM",1980,65.56,122,0,131.12,241560,9768.71811289797
2.21,35,"STEM",1975,69.32,121,0,2426.2,238975,9779.52590714284
2.78,1,"STEM",1999,70.55,120,0,70.55,239880,9724.89215715704
1.89,9,"STEM",1983,68.1,122,1,612.9,241926,9812.51190515361
1.77,5,"STEM",2013,69.07,120,1,345.35,241560,9815.21250510202
2.2,25,"STEM",1979,69.85,124,0,1746.25,245396,9777.04342142859
2.5,18,"STEM",2000,69.69,121,1,1254.42,242000,9747.80455357144
2.65,27,"STEM",1985,64.3,124,0,1736.1,246140,9736.57855047619
1.94,28,"STEM",1963,69.85,122,0,1955.8,239486,9800.63731908843
2.13,8,"STEM",1982,64.23,120,1,513.84,237840,9784.04723333335
2.84,39,"STEM",1998,70.82,123,0,2761.98,245754,9717.00883887679
2.79,5,"STEM",1970,69.55,122,0,347.75,240340,9722.18905289793
3,2,"STEM",2006,69,120,1,138,240720,9703.08668285716
2.35,2,"STEM",1980,70.54,128,0,141.08,253440,9762.23692857144
2.19,24,"STEM",2008,67.4,121,3,1617.6,242968,9779.26777142858
2.72,44,"STEM",1961,68.92,121,1,3032.48,237281,9730.91389999998
2.36,29,"STEM",1971,63.68,120,2,1846.72,236520,9761.94170948718
1.88,3,"STEM",1993,69.46,124,0,208.38,247132,9808.44869047615
1.8,23,"STEM",1982,67.47,120,0,1551.81,237840,9820.40419285715
2.33,6,"STEM",2008,68.42,123,1,410.52,246984,9765.00986154133
2.28,42,"STEM",2007,71.28,122,1,2993.76,244854,9776.16278562981
2.65,5,"STEM",1962,70.43,124,1,352.15,243288,9732.0322785714
2.48,2,"STEM",2006,66.72,123,1,133.44,246738,9748.24511845236
2.89,55,"STEM",1993,65.68,123,0,3612.4,245139,9715.86114651566
1.79,3,"STEM",1990,66.83,124,1,200.49,246760,9812.96212619044
1.43,35,"STEM",2014,68.94,121,1,2412.9,243694,9848.38859285713
1.68,7,"STEM",2007,68.83,122,1,481.81,244854,9822.42867515358
2.8,11,"STEM",2005,66.32,120,1,729.52,240600,9721.69582857143
1.75,3,"STEM",1993,67.46,122,1,202.38,243146,9819.13042432651
2.7,1,"STEM",1971,67.84,121,0,67.84,238491,9733.08756785714
2.32,20,"STEM",1970,65.11,122,0,1302.2,240340,9767.93488657144
2.58,4,"STEM",1982,69.19,121,0,276.76,239822,9742.65354982995
2.73,9,"STEM",1994,65.64,121,0,590.76,241274,9734.56358681973
2.74,31,"STEM",1961,68,122,0,2108,239242,9726.30467908839
2.18,26,"STEM",1977,66.96,121,1,1740.96,239217,9784.28613761906
2.73,1,"STEM",1981,68.58,121,0,68.58,239701,9730.06460595239
2.63,23,"STEM",1968,66.06,120,1,1519.38,236160,9735.68605829672
2.66,50,"STEM",2011,65.56,121,1,3278,243331,9732.63654404764
1.99,30,"STEM",1988,71.01,125,0,2130.3,248500,9797.74547857144
3.19,1,"STEM",1983,66.74,121,0,66.74,239943,9686.30836411774
3.17,16,"STEM",2015,71.56,122,1,1144.96,245830,9690.49531004084
2.84,29,"STEM",2004,65.2,122,0,1890.8,244488,9718.88014177473
3.19,19,"STEM",1964,69.83,123,1,1326.77,241572,9689.02448333334
2.28,0,"STEM",1975,67.08,122,1,0,240950,9769.92307861224
2.59,64,"STEM",2007,64.58,127,0,4133.12,254889,9739.54719285716
2.92,7,"STEM",1996,68.58,122,1,480.06,243512,9716.49746718365
2.05,0,"STEM",1995,67.62,122,1,0,243390,9788.33393861226
3.31,1,"STEM",1998,66.53,121,0,66.53,241758,9677.04955902986
2.52,23,"STEM",1981,66.03,121,3,1518.69,239701,9750.58257571429
2.62,4,"STEM",1971,69.95,121,4,279.8,238491,9737.52514285715
2.39,10,"STEM",1992,69.9,121,1,699,241032,9760.42950463657
1.54,6,"STEM",1986,64.61,120,0,387.66,238320,9838.40847857142
1.97,38,"STEM",1970,67.13,120,2,2550.94,236400,9792.25714571428
3.08,15,"STEM",1990,66.82,129,7,1002.3,256710,9714.6640357143
3.1,21,"STEM",1975,67.57,120,2,1418.97,237000,9692.1912404762
2.14,2,"STEM",2004,68.19,120,0,136.38,240480,9780.21404236113
2.16,1,"STEM",1987,71.13,120,2,71.13,238440,9778.0276309524
2.5,12,"STEM",1984,65.73,123,1,788.76,244032,9749.42718142858
1.72,0,"STEM",1989,70.05,121,0,0,240669,9818.25082857141
2.39,8,"STEM",1992,69.07,120,0,552.56,239040,9758.98569336733
2.28,25,"STEM",2001,69.48,120,1,1737,240120,9773.27978082707
1.83,16,"STEM",2004,67.09,122,1,1073.44,244488,9812.76236718365
2.59,34,"STEM",1993,71.26,120,1,2422.84,239160,9740.20636428575
3.49,29,"STEM",1988,66.71,124,4,1934.59,246512,9664.75621428573
3.63,38,"STEM",1998,68.51,121,3,2603.38,241758,9652.46152857141
3.04,5,"STEM",1962,68.05,121,1,340.25,237402,9705.92803539116
2.06,52,"STEM",2010,64.92,121,0,3375.84,243210,9794.71898759921
2.23,5,"STEM",1971,69.41,122,1,347.05,240462,9772.75008146936
2.46,7,"STEM",1990,65.87,122,2,461.09,242780,9754.37031289793
2.75,34,"STEM",1985,64.79,124,0,2202.86,246140,9728.06553142858
2.36,12,"STEM",2004,64.75,121,0,777,242484,9762.73285807538
2.17,6,"STEM",2005,68.85,121,4,413.1,242605,9780.88312142859
3.24,26,"STEM",2014,68.26,122,0,1774.76,245708,9684.21843463191
2.25,56,"STEM",1968,69.59,125,2,3897.04,246000,9780.50126857144
3.12,21,"STEM",1980,67.06,124,0,1408.26,245520,9688.45560714285
2.01,2,"STEM",1987,67.64,121,0,135.28,240427,9797.44993333332
2.59,20,"STEM",2005,64.79,122,1,1295.8,244610,9741.87717908845
3.38,26,"STEM",1982,69.89,121,1,1817.14,239822,9670.21042142857
3.8,41,"STEM",1966,66.72,123,1,2735.52,241818,9638.84185714282
1.74,13,"STEM",1991,68.79,121,1,894.27,240911,9820.68457368419
2.97,9,"STEM",1981,68.67,123,3,618.03,243663,9710.8609761905
3.09,2,"STEM",1988,68.19,124,1,136.38,246512,9697.38801428572
2.17,9,"STEM",1961,68.44,121,1,615.96,237281,9785.46848796991
2.21,13,"STEM",1977,68.7,124,1,893.1,245148,9777.4380093985
3.34,9,"STEM",2008,66.62,123,1,599.58,246984,9667.23489285714
2.42,15,"STEM",1998,68.47,120,0,1027.05,239760,9756.39572552437
2.6,3,"STEM",1969,66.49,121,2,199.47,238249,9742.17757428575
3.23,12,"STEM",1999,69.29,127,0,831.48,253873,9690.65447093253
2.71,13,"STEM",2015,66.93,122,1,870.09,245830,9734.36415289795
3.51,20,"STEM",1985,70.24,120,0,1404.8,238200,9659.58064761903
1.56,18,"STEM",1964,65.4,120,1,1177.2,235680,9831.84193571429
2.25,34,"STEM",1999,65.57,121,1,2229.38,241879,9771.96310714287
2.44,0,"STEM",1961,69.52,120,0,0,235320,9751.19810410831
3.37,1,"STEM",1989,63.57,120,1,63.57,238680,9677.10284285715
2.37,26,"STEM",1976,69.3,121,1,1801.8,239096,9759.9671546366
2.33,26,"STEM",1976,64.01,121,0,1664.26,239096,9766.14212142858
2.48,20,"STEM",1969,68.43,121,1,1368.6,238249,9748.1503803571
2.41,25,"STEM",1996,71.14,121,0,1778.5,241516,9755.40912642857
2.07,12,"STEM",2014,66.66,121,2,799.92,243694,9792.49010714286
2.04,4,"STEM",1993,70.86,122,3,283.44,243146,9794.14725289796
2.26,41,"STEM",2013,68.8,121,0,2820.8,243573,9777.15452450398
2.4,10,"STEM",1979,65.29,120,3,652.9,237480,9759.18106758242
2.41,23,"STEM",2001,68.27,124,1,1570.21,248124,9757.8207693985
2.41,9,"STEM",1999,67.24,124,0,605.16,247876,9757.50474950396
3.17,13,"STEM",2014,68.32,123,1,888.16,247722,9689.88720000001
2.35,13,"STEM",1970,68.55,121,1,891.15,238370,9767.01172368418
2.52,19,"STEM",1989,64.83,120,3,1231.77,238680,9748.09696857142
3.38,26,"STEM",1971,63.25,125,2,1644.5,246375,9675.30253571426
2.22,56,"STEM",1988,67.1,120,1,3757.6,238560,9776.32629761905
2.79,12,"STEM",1975,71.44,121,1,857.28,238975,9720.05328968256
2.2,14,"STEM",1962,70.46,124,0,986.44,243288,9776.42546190474
2.38,9,"STEM",2013,70.42,124,1,633.78,249612,9762.44814511279
2.36,11,"STEM",2007,68.08,120,0,748.88,240840,9767.04270807538
2.23,4,"STEM",2004,69.96,121,1,279.84,242484,9775.71069261902
1.53,13,"STEM",1964,69.09,122,1,898.17,239608,9836.88570146939
2.21,4,"STEM",1976,68.34,120,0,273.36,237120,9773.70529523809
2.65,7,"STEM",1977,65.94,122,1,461.58,241194,9736.98963861224
2.53,7,"STEM",1975,67.99,124,0,475.93,244900,9747.20177619049
2.06,16,"STEM",2011,65.97,123,0,1055.52,247353,9791.44725902779
2.59,32,"STEM",1976,67.38,121,0,2156.16,239096,9741.12788404762
2.78,7,"STEM",1984,68.89,121,0,482.23,240064,9722.57350657596
2.7,112,"STEM",2002,64.75,125,1,7252,250250,9757.54381190478
2.21,6,"STEM",1987,67.5,122,1,405,242414,9774.97854575508
2.06,29,"STEM",2000,68.14,123,0,1976.06,246000,9795.26595664684
2.52,7,"STEM",1995,64.96,122,1,454.72,243390,9750.69723861225
2.27,31,"STEM",1985,65.21,121,2,2021.51,240185,9771.10317142858
2.88,0,"STEM",1978,66.75,123,1,0,243294,9714.87617462584
1.98,153,"STEM",1999,69.42,122,0,10621.26,243878,9826.69521428574
1.54,3,"STEM",1968,67.18,122,1,201.54,240096,9835.62218146939
3.53,4,"STEM",2007,68.53,120,0,274.12,240840,9658.95090426586
3.2,17,"STEM",2004,67.26,122,1,1143.42,244488,9683.3224957551
2.81,21,"STEM",1985,68.7,122,1,1442.7,242170,9721.39297908844
1.76,3,"STEM",1976,66.91,125,3,200.73,247000,9811.47139285713
2.84,21,"STEM",2014,66.94,121,1,1405.74,243694,9721.73400399658
3.28,16,"STEM",1965,68.32,123,2,1093.12,241695,9680.50770000001
2.5,14,"STEM",2007,68.38,120,1,957.32,240840,9746.23852571431
2.89,38,"STEM",1961,66.22,126,0,2516.36,247086,9715.10350714285
2.77,8,"STEM",2012,67.02,124,5,536.16,249488,9728.39967857146
2.71,3,"STEM",1981,65.29,120,0,195.87,237720,9734.96165536281
3.35,12,"STEM",2003,67.56,121,2,810.72,242363,9671.00287142858
2.8,25,"STEM",2014,71.21,120,0,1780.25,241680,9721.95169807541
2.5,13,"STEM",2008,69.21,123,1,899.73,246984,9748.68192261906
2.43,44,"STEM",1995,68.97,121,1,3034.68,241395,9756.23152261905
2.5,24,"STEM",1973,68.65,122,4,1647.6,240706,9751.17940289793
2.46,51,"STEM",1961,69.47,125,0,3542.97,245125,9755.80467142858
2.39,90,"STEM",2004,68.78,120,0,6190.2,240480,9768.63194857142
2.78,0,"STEM",2000,68.88,124,0,0,248000,9723.69831140874
2.84,12,"STEM",1999,65.22,123,2,782.64,245877,9719.12020714285
2.91,13,"STEM",1965,69.13,120,1,898.69,235800,9706.39377850141
2.85,0,"STEM",1988,69.87,121,1,0,240548,9717.57116904764
3.22,34,"STEM",1987,70.48,121,0,2396.32,240427,9687.29757848845
2.09,28,"STEM",2008,67.24,121,0,1882.72,242968,9792.49243759921
2.12,150,"STEM",1975,69.24,121,0,10386,238975,9817.3960309524
2.18,40,"STEM",2002,67.95,120,0,2718,240240,9779.75161378968
2.4,20,"STEM",2007,69.8,129,2,1396,258903,9757.27376666665
2.94,62,"STEM",1976,64.99,121,1,4029.38,239096,9711.0529534864
2.93,13,"STEM",2015,69.71,121,1,906.23,243815,9712.78793741497
1.85,1,"STEM",2015,67.8,125,0,67.8,251875,9805.10143045633
2.85,5,"STEM",1968,67.81,123,1,339.05,242064,9718.54042023807
2.45,11,"STEM",2010,68.37,120,1,752.07,241200,9756.69056559525
2.37,18,"STEM",2003,65.89,121,2,1186.02,242363,9761.10325857142
2.02,27,"STEM",2007,66.31,121,1,1790.37,242847,9797.82357142857
3,62,"STEM",1979,67.74,122,2,4199.88,241438,9705.95286718368
1.91,10,"STEM",2001,68.07,120,3,680.7,240120,9803.00786214285
2.95,26,"STEM",2003,69.02,120,0,1794.52,240360,9703.19165173395
2.51,28,"STEM",1961,66.95,121,2,1874.6,237281,9745.86708571427
2.59,1,"STEM",1995,66.91,121,1,66.91,241395,9745.83770326012
3.39,35,"STEM",1974,72.16,122,1,2525.6,240828,9671.38279575509
2.45,19,"STEM",2010,68.73,120,0,1305.87,241200,9755.14281378967
3.2,4,"STEM",2008,64.14,124,2,256.56,248992,9685.95207142857
2.27,7,"STEM",1988,66.43,122,0,465.01,242536,9771.01888385033
2.8,75,"STEM",1968,67.05,124,2,5028.75,244032,9724.79297857142
3.05,84,"STEM",2007,67.68,121,0,5685.12,242847,9706.02519857349
2.91,6,"STEM",1990,65.03,124,0,390.18,246760,9712.03958095239
3.02,12,"STEM",2003,64.65,121,1,775.8,242363,9701.05927491498
1.44,16,"STEM",1980,68.32,122,2,1093.12,241560,9848.68407432651
2.65,36,"STEM",2008,66.55,121,0,2395.8,242968,9736.89638640873
2.74,15,"STEM",1992,67.38,121,1,1010.7,241032,9724.82560507371
2.08,8,"STEM",1978,66.77,120,1,534.16,237360,9789.44661302521
2.84,8,"STEM",2015,71.44,121,1,571.52,243815,9720.29268741497
2.34,11,"STEM",1997,69.1,121,1,760.1,241637,9763.76432273182
2.38,22,"STEM",1966,67.65,121,1,1488.3,237886,9764.85295238093
1.88,1,"STEM",1969,70.41,121,0,70.41,238249,9809.51194404761
3.1,6,"STEM",2013,69.08,122,2,414.48,245586,9692.52082432655
2.71,2,"STEM",1978,69.19,122,0,138.38,241316,9733.01321718367
2.45,11,"STEM",1969,68.54,122,1,753.94,240218,9754.67391420743
2.65,1,"STEM",1971,68.82,121,1,68.82,238491,9734.32435087912
2.02,11,"STEM",1997,67.58,123,0,743.38,245631,9798.49174761905
2.3,17,"STEM",1962,68.08,121,2,1157.36,237402,9772.29423333331
2.76,12,"STEM",1984,68.16,120,0,817.92,238080,9723.11766249999
1.93,27,"STEM",1995,67.22,123,0,1814.94,245385,9805.55906428572
1.38,4,"STEM",2006,69.7,121,0,278.8,242726,9850.94364285713
2.38,1,"STEM",2014,71.28,124,3,71.28,249736,9762.94542380954
2.35,71,"STEM",1977,69.17,123,1,4911.07,243171,9772.61910939849
2.93,21,"STEM",1974,68.03,129,2,1428.63,254646,9711.22420952384
2.07,10,"STEM",2011,72.36,121,0,723.6,243331,9793.89665902777
2.33,29,"STEM",2000,67.27,123,1,1950.83,246000,9763.20537142857
2.83,0,"STEM",1965,69.99,122,0,0,239730,9717.33830258822
1.89,34,"STEM",2005,67.54,121,0,2296.36,242605,9817.54209950399
2.7,2,"STEM",2006,68.21,121,1,136.42,242726,9730.83050714288
3.19,15,"STEM",1962,66.43,127,1,996.45,249174,9695.22655
